,악플여부
95939,1
85561,1
9537,0
1992,0
23977,0
44690,1
12296,1
47022,0
68264,0
92366,1
71239,0
98136,1
92994,1
57436,0
23586,0
75792,0
9908,0
29702,0
31277,0
37266,0
98794,1
45081,0
84903,1
39426,0
36241,0
77801,0
31521,0
34336,0
52630,1
69461,0
49166,0
51325,0
66,0
40372,0
326,1
28759,0
85541,1
60150,0
55971,0
54237,0
60465,0
10983,0
63116,0
22051,0
86017,1
96697,0
65015,1
89000,1
58012,0
4326,1
4038,0
29521,0
7474,0
60401,1
23675,0
22151,0
78189,0
34411,0
50847,1
23973,0
56678,0
59942,1
41764,1
31808,0
58679,0
6517,0
18961,0
92669,1
45346,0
48865,0
624,0
45401,1
1392,0
26200,0
50682,0
35973,0
58960,1
85815,1
25984,0
48589,1
11584,0
36687,0
91638,1
40690,1
29190,0
75277,0
36476,0
86099,1
86494,1
32872,0
52,0
27739,1
17111,0
15529,0
53578,0
25815,0
64180,1
9679,0
59918,0
71930,0
70958,0
42284,0
11196,0
74855,0
49316,0
64157,0
80705,0
33044,0
11588,0
86036,1
53900,1
26583,0
12105,0
12612,0
86281,1
72613,1
93615,1
90609,1
44222,0
78814,0
90638,1
68699,0
59002,0
23873,0
59792,0
47833,1
25509,0
63055,0
11533,0
71223,0
17557,0
77751,1
94773,1
42161,0
73433,0
2908,0
56307,0
63897,0
63409,0
97132,1
56319,0
78418,0
65221,1
66805,0
71444,0
84594,1
89760,1
32962,0
27385,0
33120,0
62657,1
14847,0
74196,0
13821,0
16335,0
71811,0
81995,1
41152,0
39947,0
57219,0
46439,1
50243,0
85858,1
15666,1
42467,0
6090,1
11639,0
49563,0
8967,0
69746,0
4478,0
73245,0
1759,0
77398,1
46838,0
83411,1
61505,0
75870,1
79020,0
7362,0
40396,0
99038,0
25458,0
96529,1
26356,0
34509,0
40624,0
8201,0
26245,0
75080,0
56744,0
27600,0
4158,0
53135,1
4270,0
4608,0
41161,1
58565,1
36639,0
4997,0
16760,0
21519,0
69700,0
6449,0
14468,0
16850,0
12576,0
73618,0
96355,1
65060,1
30040,0
89472,1
24229,0
27174,0
18944,0
53202,1
92831,0
15629,0
85323,1
88976,1
77047,0
86679,1
18790,0
64707,1
66027,0
54478,0
47465,0
31851,0
9487,0
11757,0
79366,0
60586,1
25558,0
8570,0
31296,0
841,0
49900,0
66106,0
34851,0
96482,1
17403,0
45254,1
91616,1
91166,1
92330,0
88977,1
10023,0
7939,0
25795,0
82318,1
93786,1
12997,1
44391,0
87770,1
47989,0
94011,1
52949,0
3339,0
35331,0
5916,0
4427,0
84374,1
49032,0
67822,0
96130,1
69834,0
66122,0
58221,0
5223,0
47526,0
5233,0
6048,0
49423,0
48610,0
90270,1
36954,0
90152,1
30252,0
12987,0
968,0
16942,0
72085,0
14624,0
64081,0
83623,1
18081,0
27894,0
7276,0
10535,1
73503,0
92097,1
60327,0
52013,1
83405,1
61907,1
29541,0
51592,0
46141,0
59907,1
11628,0
42444,0
70675,0
17656,0
18718,0
59654,0
70077,0
94139,1
38423,0
67905,1
73064,0
50771,0
97162,1
29787,0
6702,0
2658,0
62301,1
5756,0
66216,0
92180,1
42179,0
46087,0
18020,1
52701,0
49410,0
44454,0
72873,0
59561,0
66823,0
95213,1
50080,1
28020,0
92582,1
76169,1
56109,0
79591,1
5047,0
10520,0
72857,1
69715,0
82868,1
39998,0
45912,1
30169,0
39215,0
65836,1
63761,0
31342,0
46926,0
66303,0
13984,0
11104,1
47435,0
66642,1
14129,0
79449,0
99078,0
20592,0
23197,0
23281,0
51169,1
76204,0
68209,0
84054,1
45871,0
77882,1
64432,0
89190,1
85409,1
56002,0
35882,1
71820,0
65318,1
69000,0
85616,1
84474,1
81533,1
75300,0
31611,0
23896,0
86807,1
23677,0
59486,0
8099,0
59986,0
67926,0
76787,1
77738,0
34873,0
82580,1
54936,0
27881,0
84057,1
88417,1
25396,0
61041,0
29847,0
77188,0
84028,1
34694,1
91557,0
17672,0
72225,1
55680,0
89777,1
35958,1
82996,1
15738,0
36727,0
55439,0
95845,1
29415,0
9259,0
45166,0
9890,0
29731,0
92794,1
51736,0
92055,1
322,0
13202,0
8937,0
91042,1
42854,0
4222,0
34552,0
5080,0
88817,1
69932,0
8165,0
22440,0
14533,0
49459,0
80269,0
48807,0
86647,1
81421,1
5920,0
88964,1
25016,0
3497,0
42619,1
33645,0
17791,0
40289,0
32458,0
34725,0
73083,0
56686,1
60236,0
19629,0
16675,0
60086,0
21773,0
31584,0
68658,0
98922,1
13478,0
8572,0
14124,0
38638,0
64012,0
36556,0
58487,1
90648,1
3089,0
39966,0
79274,0
19651,0
86160,1
63793,0
91339,1
35543,0
24399,0
12814,0
49535,0
98920,0
32261,0
90836,1
42453,0
16340,0
40116,0
28905,0
56155,0
85988,1
4928,0
87818,1
93534,1
77765,1
31355,0
95824,1
25760,0
90509,1
84910,1
8663,0
57525,0
71263,0
62269,1
85975,1
97443,1
22734,0
89253,1
49882,0
67166,1
75668,1
54298,0
39894,0
91305,1
79072,0
92665,1
82740,1
74364,1
81864,1
48447,0
39905,0
90894,0
50995,0
24877,0
35912,0
11752,0
17701,0
50980,0
55889,0
1263,0
7008,0
33210,0
25520,0
40552,0
77907,0
99445,0
82024,1
45644,0
84111,1
92075,1
72247,0
14582,0
29603,0
32175,0
45757,1
90140,1
74793,1
44348,0
43288,0
93379,1
38528,0
42872,0
79362,0
48949,1
62047,0
62237,0
14621,0
86097,1
47931,1
60364,1
75081,1
37424,0
87655,1
22026,0
73915,0
27348,0
61566,1
54883,0
39048,0
35970,0
71259,0
32561,0
81752,1
55438,0
7828,0
13701,1
80277,1
61540,0
42806,1
28285,0
76201,0
49211,0
87279,1
85811,1
57796,0
86556,1
92057,1
94411,1
43017,0
87799,1
87091,1
31158,0
39691,0
93818,1
17599,0
92737,1
50180,1
98344,0
39109,0
36054,0
3629,0
73999,0
17577,0
62383,0
39838,1
13776,0
94258,1
69354,0
80051,0
75252,0
55816,0
79012,0
61817,0
47702,1
88015,1
40198,0
12457,0
56967,0
39333,0
73879,0
77474,0
25667,0
27877,0
50672,0
95786,1
27918,0
37444,0
66254,1
97544,1
40201,0
97848,1
85217,1
87567,1
54476,0
68970,0
20939,0
25170,0
85190,1
54265,0
4494,0
2232,0
67021,1
70360,0
80112,0
14562,0
37108,0
17232,0
58252,0
85071,1
57049,0
69718,0
69686,0
53369,0
59635,0
32109,0
86622,1
7921,0
45896,0
87388,1
55877,0
48765,0
94495,1
54019,0
68372,0
43572,1
10466,1
83295,1
16313,0
64616,0
86028,1
47866,1
26011,0
6604,0
1837,0
77138,0
30741,1
8061,0
35095,0
49365,1
6499,0
22268,0
87565,1
28845,1
29526,1
86978,1
43306,1
15936,0
2124,0
85164,1
81051,0
88978,1
6829,0
19902,0
83084,1
85213,1
42036,0
72209,0
12841,0
336,0
65052,0
88485,1
18124,0
97389,1
87734,1
98106,1
66278,1
95148,0
75171,0
93652,1
85386,1
50967,0
19361,0
54862,0
49749,1
62531,0
40604,0
64188,0
25715,1
10796,1
76639,1
32324,0
73867,0
81889,1
24289,0
96559,1
8945,0
58732,0
65035,1
12956,0
82333,1
414,0
474,0
83986,1
66918,0
57664,0
94341,1
75739,0
56082,0
91373,1
34338,1
5795,0
36074,0
49416,1
11389,1
73277,0
73532,0
67012,1
32546,0
21093,0
10075,0
20696,0
91208,1
10584,0
23251,0
94398,1
29057,0
22140,0
12853,0
82897,1
86156,1
93123,1
5986,0
64090,1
65744,1
83471,1
2748,0
41640,0
4384,0
6882,0
21801,0
90162,1
77789,0
37902,1
2640,0
68238,0
66596,1
86610,1
1810,0
87310,1
95117,0
36231,0
14082,0
34237,0
32195,0
20867,0
86029,1
6491,0
73009,0
91144,1
38576,0
63039,0
5953,0
59464,0
26713,0
8131,0
48976,0
19455,0
88289,1
12527,0
94168,0
49020,0
58494,0
39041,0
56246,0
45617,0
45172,0
51382,0
74973,0
75059,0
91650,1
77167,0
96856,1
94305,1
86766,1
21487,0
33815,0
36862,0
88366,1
71413,0
76427,0
1001,0
35944,0
68926,0
32397,0
17207,0
57390,0
67150,1
64955,0
82222,1
89940,0
8308,0
10295,0
69034,0
55978,0
35463,0
81862,1
76055,1
18615,0
7944,0
14775,0
77304,1
13631,0
95219,1
88213,1
6547,0
41297,0
85131,1
12065,0
21299,0
10009,1
74455,0
67647,0
33058,1
96793,1
31761,0
29911,0
84075,1
53746,1
47660,0
58244,0
81838,1
20640,0
10437,0
36574,0
20733,0
60557,1
4000,0
89444,1
41216,0
74394,0
30440,0
6474,0
39782,0
52493,0
81688,1
60642,0
99361,0
28116,0
97900,1
39433,0
96762,0
58876,0
21292,0
28170,0
1811,0
95446,1
95975,1
55984,0
12157,0
31014,0
20057,0
28779,0
53047,0
78081,1
37861,0
61708,0
90846,1
40717,1
47693,0
42589,1
12442,0
24840,0
66570,1
86691,1
79521,1
27668,1
2156,1
22244,0
18625,0
92751,1
69136,0
84201,1
36233,0
81200,0
17448,0
20589,0
70702,0
42459,0
68803,0
70710,0
66230,0
53600,0
35579,0
95982,1
32216,0
96636,0
94818,1
42479,0
85509,1
98233,1
94359,1
1311,0
65410,0
21204,0
81892,1
57839,0
52607,0
11688,0
46910,0
47568,1
9110,0
65471,1
83943,1
46556,0
73902,0
42225,0
42323,1
42787,0
35448,0
68636,0
4336,0
32542,0
75987,0
7475,0
22887,0
25894,0
85718,1
63836,0
68320,0
42536,0
90633,0
49544,0
26112,0
19906,0
31510,0
98985,0
12693,0
10647,0
78593,0
61080,0
46043,0
38160,1
16229,0
64804,1
23286,0
72601,0
31303,0
85917,1
10832,0
73881,0
60096,1
83360,1
43632,1
45593,0
96515,1
74706,0
95139,0
92328,1
8008,0
57997,0
87631,1
36502,0
91056,0
30525,0
50326,1
73184,0
19587,0
58080,1
57214,0
77303,0
28822,0
77426,0
64322,1
84791,1
15042,0
1412,0
38593,0
80022,0
40048,0
4143,0
87528,1
76857,0
47955,1
17700,0
10953,0
83386,1
41709,0
94564,0
28948,0
78139,1
33014,0
39577,0
80352,0
68758,0
73246,0
59731,1
28248,0
563,0
15956,0
50752,0
92884,1
95539,1
30591,0
55446,0
68827,0
93805,1
42296,0
71789,0
48156,0
30751,0
68606,0
96547,1
87075,1
87869,1
62991,0
91917,1
8058,0
78353,0
35155,0
9747,0
74288,0
43941,0
60137,0
61276,0
25873,0
68968,0
83536,1
13001,0
96833,1
25173,0
73005,1
99234,0
49126,1
32700,0
29145,0
49521,0
23572,0
27810,0
95466,1
38604,0
3152,0
28951,0
56865,0
64470,0
137,0
716,0
68682,0
64273,1
50635,0
48344,0
50473,0
6457,0
397,0
31784,0
479,0
15021,0
52655,0
80691,0
33422,0
71875,0
63991,0
80612,0
58610,0
6672,0
6204,0
75139,1
89787,1
31637,0
97825,1
70845,0
86844,1
27972,0
36698,0
79510,0
98447,0
37321,0
56112,0
27432,0
61357,0
18351,0
64181,0
67154,1
66898,1
45093,0
33427,0
91708,1
33310,0
42029,1
61150,1
4461,0
79479,1
98094,1
31553,0
64484,1
31802,1
59451,0
21389,0
22817,0
28975,0
64251,1
13780,0
19451,0
29018,0
33679,0
33871,0
2923,0
47147,0
64824,0
5834,0
72678,0
69302,0
92611,1
64987,1
73549,0
59182,0
69505,0
3572,1
64970,0
18837,0
81568,1
22785,0
18971,0
32369,0
38955,0
89430,1
51485,0
52064,1
25223,0
47497,0
21873,0
28497,0
45645,0
3626,0
84202,1
65507,1
39716,0
14872,0
62398,0
91892,1
73614,0
65077,0
66135,0
98262,1
87,0
23589,0
81009,0
99112,0
31994,0
90340,1
91898,1
61207,0
13505,0
71306,0
83122,1
20352,0
59257,0
40961,0
30126,0
13816,0
3588,0
23149,0
35833,0
56904,0
79152,0
6098,0
6284,0
23017,0
49513,0
71972,0
29308,0
98806,0
28960,0
16153,0
6625,0
51342,0
71410,0
88808,1
37797,0
13122,0
2780,0
93980,1
74604,0
39675,0
53475,1
9973,1
44401,1
86646,1
21264,0
17253,0
80106,1
37813,0
81028,1
81316,1
14720,0
80431,0
31557,0
9417,0
13754,0
41658,0
74139,0
18827,0
89938,0
25688,0
26903,0
1558,0
1036,0
19390,0
86471,1
74097,1
10505,1
61497,0
33775,0
29802,1
18650,0
67044,0
16018,0
87280,1
2604,0
49176,1
87559,1
79070,0
78649,1
30180,0
36324,0
67951,0
97139,1
37130,0
9996,0
69787,0
56146,0
21419,0
9256,0
28560,0
57307,0
64040,0
76635,0
12340,0
10374,0
95617,1
50491,1
96394,1
34932,0
37804,0
69968,0
55989,0
85366,1
28818,1
20465,0
87580,1
62198,0
76756,1
87719,1
22378,0
58547,1
11776,0
91338,0
12118,0
15146,0
42298,0
26309,0
82490,1
16582,0
52721,0
78068,0
71763,0
26737,0
91333,1
9149,0
70206,1
1798,0
99025,0
43834,0
61367,0
80425,0
40447,0
50856,0
10899,0
35170,1
58300,0
24402,0
77896,0
32739,0
62902,0
24348,0
66171,0
89553,1
77504,0
94585,1
60712,0
51332,0
24882,0
78050,0
3467,1
37910,0
9100,0
10727,0
50063,0
44740,0
4949,0
30052,0
58830,1
67039,0
86909,1
72906,0
67799,0
83114,1
55711,0
54951,0
90336,1
28762,0
88684,1
89319,1
97528,1
87398,1
13957,0
84351,1
27799,0
93649,1
96265,1
14439,0
26972,0
5750,0
74330,0
47673,0
92368,1
243,0
16471,0
53935,0
52896,0
47904,0
11482,0
21068,0
24353,0
71215,0
9031,0
14453,0
60649,0
21663,0
92805,0
44776,0
26786,0
21345,0
84917,1
694,0
53485,0
68468,0
49328,1
88920,1
84561,1
98061,1
37095,0
44702,0
9620,0
1772,0
35092,0
464,0
9038,0
75706,1
21374,0
82828,1
14138,0
55526,0
92302,1
39405,0
93536,1
74047,0
14330,0
24210,0
86587,1
21461,0
27704,0
92204,1
97834,1
48299,0
31885,0
92244,1
82813,1
13344,0
57385,0
79733,0
16214,0
32570,0
30471,0
95138,0
41657,0
73534,1
64516,0
27183,0
25899,0
88281,1
67543,1
89759,1
82030,1
51926,0
12301,0
21384,0
55622,0
18711,0
31065,0
15551,0
77098,0
49264,1
4702,0
52467,0
3294,0
46966,0
31111,0
75890,0
63047,0
2439,0
56539,0
84946,1
67045,1
62509,1
60994,0
25142,0
59031,0
40688,0
9596,0
42079,0
86347,1
24973,0
36058,0
9159,0
55180,0
78270,0
47876,1
68132,0
98389,0
31039,1
19290,0
14428,0
13234,1
9972,0
53064,0
61160,0
58859,0
75655,1
63276,0
31123,0
55320,0
67298,0
62143,0
75590,0
32023,0
72264,0
98610,1
13163,0
12321,0
54365,0
97181,1
40705,0
33309,0
33311,1
40893,0
24848,0
17089,0
71184,0
45169,1
34528,0
26481,0
18861,0
63757,0
24294,0
41867,0
33595,0
8232,0
80789,0
45035,1
75514,0
42718,0
62847,1
38877,0
55789,0
2342,0
63945,1
25563,0
45918,0
73234,1
48244,0
66247,1
88418,1
8784,0
7848,0
96439,1
93327,1
26480,0
10063,0
91387,0
68185,0
32491,1
1013,0
96331,1
35844,0
82410,1
33433,1
68860,0
75833,0
93291,1
39035,1
76544,1
73217,0
68134,0
51464,0
32834,0
72590,0
89231,1
79602,0
84008,1
55103,0
41385,0
73939,0
39363,0
2455,0
48703,0
64072,1
5496,0
42738,0
26350,0
87273,1
11807,0
45000,1
2851,1
18195,0
10413,0
58716,0
64399,1
6498,0
54084,0
39232,0
85477,1
69789,0
86041,1
70342,0
49375,0
29487,0
84053,1
1513,0
22073,0
25947,0
82282,1
7084,0
62592,0
36527,0
4339,0
78820,0
7899,0
41399,0
42791,0
98441,0
58574,0
4056,0
33302,0
45779,0
28092,0
97986,1
77809,0
43701,0
87990,1
20272,0
201,0
28866,0
9427,0
65526,0
1858,0
23851,0
35865,0
84140,1
3176,0
46950,0
8560,0
37128,1
49818,1
30453,0
45009,0
3765,0
37853,1
80657,0
4798,0
54679,0
79545,0
65707,1
37706,0
16632,0
16918,0
45018,0
22234,1
24490,0
55756,0
62518,1
64390,0
68175,0
15417,0
4811,0
1029,0
12816,0
81676,1
28713,0
24333,0
97556,1
59066,0
55893,0
86484,1
56511,0
50458,1
57380,0
79807,0
67082,1
88037,1
3224,0
9859,0
37145,0
86234,1
84602,1
98179,1
84941,1
64476,0
91354,0
66128,1
49448,1
49122,0
51522,0
77072,1
78799,0
26816,0
38783,0
10359,0
43026,0
94504,1
33279,0
67832,0
87067,1
26688,0
27648,1
48257,0
15012,0
79451,0
29376,0
94665,1
12404,0
89033,1
2664,0
35935,0
41676,0
66456,0
45906,1
89508,1
14055,0
63955,0
96946,0
58803,0
4233,0
10209,0
64187,0
61631,1
69783,0
22118,0
78843,0
59558,0
24312,1
5315,0
11367,0
58963,0
39139,0
47663,0
10925,0
506,0
70594,0
92177,0
4026,0
24448,0
52131,0
63004,0
93208,0
80883,0
79594,0
29872,0
29950,0
36461,0
95699,1
68352,0
84509,1
10880,0
55842,0
22871,0
15464,0
91870,1
53561,0
81377,1
41583,1
3532,0
96253,1
42332,0
1679,0
88491,1
60145,0
56293,0
7925,0
34119,0
33141,0
87170,1
36745,0
73804,0
28519,0
90284,1
77857,0
70828,1
69697,0
46052,0
90228,1
1851,0
23560,0
1952,0
47974,1
92102,1
17246,0
78327,0
77182,0
89234,1
10081,0
35025,0
61931,0
35755,0
15586,0
29324,0
44914,0
90366,0
67760,0
72891,0
40630,0
56171,1
33756,0
17998,0
19669,0
4743,0
4660,0
90334,1
75407,0
63502,0
23798,0
54759,0
9677,0
5917,0
12420,0
24949,0
88429,1
98104,1
32620,0
88078,1
35925,0
7900,0
53809,0
15246,0
67410,0
62402,0
60864,0
19588,0
45358,0
28441,1
82972,1
48474,1
61445,0
51049,0
28830,0
66894,0
87451,1
60945,0
34241,0
27377,0
44879,0
62681,1
29721,0
24046,0
48080,1
8318,0
14077,0
63161,1
47463,0
62401,0
58598,0
60455,0
27486,0
41276,1
31720,0
83752,1
82744,1
45143,1
39897,0
86413,1
73781,1
96505,1
38952,0
23781,0
56787,1
41040,0
74176,0
47367,0
84228,1
24060,1
95191,1
10579,0
28187,1
18668,0
43683,0
73080,1
14186,0
1573,0
42523,0
88297,1
68979,0
71399,0
21156,0
3801,0
42011,0
30365,0
35576,0
91670,1
1770,0
86869,1
74819,0
9808,1
80715,0
96284,1
71941,0
67625,1
92720,1
56437,0
10533,0
83438,1
33785,0
67565,1
8949,0
78817,0
11383,0
9189,0
79343,0
35408,1
57290,1
10218,0
63558,0
98261,1
40839,0
7544,0
76304,1
58664,0
86821,1
79422,0
59568,0
39459,0
71935,0
27624,0
10046,0
79739,1
1108,0
97666,1
18601,0
69293,0
42123,0
55604,0
60101,0
28151,0
27332,0
77686,0
95793,1
8051,0
38817,0
11301,0
90548,1
72551,1
27933,0
31273,0
33134,1
65541,0
29225,0
81907,1
52605,0
7430,0
41080,1
44871,0
32960,0
51544,1
95594,1
45224,0
35372,0
85532,1
63212,1
20634,0
48933,0
86915,1
6682,0
43072,1
54692,0
89752,1
85119,1
25728,0
76366,1
8387,0
99206,0
50109,0
88866,1
42166,1
80910,0
33787,1
88569,1
37185,0
89002,1
55044,0
38642,0
63183,0
62967,1
97002,1
91533,1
21071,0
69073,0
23203,0
6408,0
3539,0
6683,0
23014,0
39520,1
44292,0
59601,0
89586,1
79762,0
43584,0
90372,1
33461,0
73502,0
5682,0
42052,0
33386,0
61836,1
44101,0
50588,1
73395,0
10355,0
60106,0
6674,0
68139,0
53158,1
49460,1
57489,0
71993,1
35393,0
51585,1
85194,1
60478,0
66801,1
94759,1
8296,0
69780,0
22697,0
54235,0
69334,0
12544,0
87922,1
19222,0
77250,0
23082,0
7057,0
70290,0
52082,0
12897,0
45559,0
80328,0
11709,0
42557,1
74760,1
12076,0
86468,1
32182,0
99416,0
61523,0
70523,0
33012,0
80077,1
41053,0
13397,0
20263,0
22111,0
98627,1
27868,0
19056,0
24503,0
72625,0
61279,0
67096,1
18228,0
82609,1
31577,0
44588,0
34527,0
1142,0
78514,0
11216,0
98343,0
15283,0
47511,1
6889,0
42428,0
80046,0
35378,0
19871,0
33086,0
30724,0
39068,0
64096,1
31937,0
4939,0
27032,0
89748,1
50130,0
24167,0
22171,0
84888,1
8326,0
588,0
71629,0
29035,0
28894,1
84406,1
62334,1
87824,1
99424,0
50666,0
53479,0
15839,0
58236,0
761,0
13411,0
51658,1
10204,0
62066,1
35339,0
69643,0
66788,1
54838,0
2350,0
14702,0
84617,1
38120,0
93928,1
21744,0
24668,0
76044,0
29458,0
86356,1
45538,1
65928,1
89648,1
24140,0
77899,1
96366,1
37876,0
73211,0
71251,0
14759,0
79625,0
21351,0
97277,1
13824,0
80432,1
24245,0
82386,1
89454,1
48510,0
81285,1
85581,1
78158,0
63964,0
35524,0
28164,0
23453,0
9724,0
78179,0
81629,1
60772,0
99300,0
40139,0
69625,0
3579,0
70591,0
47395,0
374,0
17736,0
22568,1
96151,1
31925,1
11682,0
62680,1
95439,1
45500,0
76708,1
16476,0
7381,0
64041,0
67302,0
17321,0
10160,0
61812,0
94070,1
12961,0
60765,1
16907,0
64835,1
80256,0
50688,1
45663,0
9631,1
25139,0
1424,0
61021,1
13786,0
53362,0
30824,0
54552,0
53299,1
62853,0
29885,0
10186,0
52633,0
88000,1
47093,0
68771,0
27109,0
80700,1
45124,0
38168,1
46883,1
43224,1
7016,0
88708,1
32658,1
28042,0
33765,1
24694,0
93782,1
16093,0
81199,0
11988,0
57181,0
40239,0
26458,0
79886,0
60660,0
1264,0
12032,0
40725,0
55557,1
13836,0
58214,1
41984,0
65583,1
68614,0
2334,0
56584,0
95851,1
47751,0
95659,1
17147,0
6030,0
8613,0
87206,1
1091,0
1831,0
66421,1
30086,0
49866,1
30281,0
83985,1
22335,0
3470,0
27904,0
53777,1
96278,1
38087,0
90949,0
83709,1
18080,0
98250,1
65226,0
80245,0
12843,0
39159,0
97417,1
22368,0
98971,1
55975,0
57887,0
80958,1
1377,0
3021,0
3038,0
6792,0
22220,0
55586,0
7502,0
12391,0
14883,0
30866,0
11153,0
7871,0
50509,1
88478,1
32811,0
33811,1
50529,0
2986,0
12305,0
6893,0
16000,0
43878,1
74840,0
69001,0
75242,0
4184,0
45770,1
18739,0
78705,1
83179,1
69536,0
47099,0
61919,0
98438,0
29203,0
70887,0
9395,0
53420,0
64733,0
41129,0
93033,1
51062,0
4685,0
74019,0
19719,0
58797,0
49773,0
57901,0
76883,0
51725,0
5480,0
39643,0
81569,1
62166,1
97557,1
15951,0
56148,0
30081,0
53998,1
86051,1
93930,1
26600,0
98105,1
20917,0
64774,0
33147,0
15013,0
95726,1
88215,1
44096,1
22413,0
58864,0
73632,0
49210,0
4337,0
92537,1
75004,0
99130,0
49757,0
71427,1
73833,0
61569,0
19379,0
25852,1
79842,1
92124,1
26253,0
40189,0
1458,0
44986,0
28812,0
24676,0
17876,0
42890,0
18681,0
40699,0
58411,0
28180,0
19546,0
22442,0
23746,0
71556,1
25092,0
29425,0
12397,0
91712,0
52887,0
68268,0
77670,0
19732,0
26065,0
90310,1
94392,1
14203,0
86473,1
31976,0
94800,1
59230,0
8451,0
86443,1
36064,0
90009,0
91806,1
79697,0
73216,0
59381,0
31016,0
43629,1
34038,0
18907,0
94344,1
3034,0
91234,1
89246,1
5939,0
19630,0
14407,0
33601,0
91700,1
39479,0
66845,0
97830,1
41120,0
23415,0
84569,1
97621,1
40228,0
58118,0
79219,0
31234,1
698,0
82351,1
77271,0
74312,0
65461,0
61886,0
31596,0
42821,0
84491,1
6458,0
101,0
48408,0
88788,1
36481,0
51272,0
40250,0
3037,0
77539,0
6707,0
11838,0
4137,0
88834,1
8064,1
75335,0
88268,1
59265,1
82585,1
63752,0
39425,0
64919,0
89213,1
55158,0
1982,0
75902,1
25550,0
6680,0
43401,1
84944,1
38171,1
41281,0
82991,1
49776,1
12520,0
39343,0
32975,0
45734,0
77351,1
36250,0
35121,0
13449,0
11928,0
138,0
94477,1
48630,0
23828,0
35351,0
11304,0
22409,0
99386,0
459,0
22078,0
11579,1
90789,0
60944,1
94782,1
20860,0
55713,0
22720,0
14253,0
19420,0
16964,0
7734,0
97510,1
28361,0
98694,1
5600,0
2581,0
5262,0
22463,0
90694,1
63353,1
80461,0
31683,0
57587,1
66869,1
13263,0
13822,0
81427,1
51889,0
56309,0
80928,1
14586,0
66371,1
29955,0
9554,0
44336,0
46621,1
41889,0
19917,0
70095,0
25803,0
20897,0
76583,0
50154,0
14441,0
67204,0
2841,1
42039,0
90065,1
33798,0
33681,1
72743,0
58218,1
48551,1
31248,0
83938,1
10269,0
78656,0
61015,0
29020,0
41995,0
13773,0
92259,0
50516,0
70916,0
29129,1
45428,0
93820,1
39236,0
17586,0
61855,1
94619,1
58497,0
85154,1
62003,0
48903,0
2431,0
45741,0
16906,0
95507,1
64573,1
37286,1
